LOC	VEH_SER_NO	INSP_COMT	TS_LOAD	FOUND_INSP_TEAM	RESP_INSP_TEAM	RESP_INSP_OPRUNT
17	NGC871	Barcu bac ba bdis bcommodo.	01:53.3	509		
17	XOG241	Beget bmi ba bac bat bfelis ba.	02:03.6	107		
17	NGC871	Bcras bat ba ba bac bduis beni bve beu bac ba btempor.	02:16.9	509		
17	BTO107	Bquis bad ba.	02:22.8	629		
17	NGC871	Bquis bad bnunc blitora bmorbi bet.	02:37.0	509		
17	BTO107	Bnisl beu ba.	02:43.7	629		
17	XOG241	Bnibh bac.	02:49.7	107		
17	BTO107	Bnisl bve ba ba ba bac bper.	03:09.1	629		
17	BTO107	Bante bat ba ba ba bfelis bconvallis bnam bve bac but bnec.	03:29.4	629		
17	BTO107	Bamet bin bnisi ba ba beu.	03:50.4	629		
17	KHN863	Bduis bad ba best bnullam bdis bvelit bnonummy.	03:53.7	513	209	200
17	KHN863	Bante beu ba best bfelis berat.	04:10.6	513		
17	BTO107	Beros bin bposuere betiam berat bcras bsem.	04:45.8	629	205	200
17	BTO107	Bquis bmi bad bcras ba ba.	05:08.6	629		
17	BTO107	Borci bat ba beu bsed bcongue bat ba bcras ba ba ba.	08:41.0	629		
17	PXD385	Bquam beu.	36:21.1	629		
17	PXD385	Berat bve ba bin bmagnis bpraesent bet bcongue ba bnec bnisi bamet bdis ba bnisl bvarius ba.	36:47.1	629		
17	PXD385	Bquam bac ba ba bmetus ba.	38:20.2	629		
17	PXD385	Bdiam bid ba bvitae bnunc.	38:40.9	629		
17	PXD385	Bodio beu ba ba.	39:06.6	629		
17	PXD385	Bduis but beu ba beu bdis bsit.	40:18.3	629		
17	PXD385	Bquam bat.	40:43.8	629		
17	PXD385	Bquis bve bmi.	41:22.8	629		
17	PXD385	Bdiam beu benim bat ba bornare bposuere ba bve bmi bornare ba bvulputate ba belit ba.	43:24.1	629		
17	EGK921	Borci but ba beu bmi.	46:37.7	413		
17	PYH561	Bnisi bve bad bvel bac bnonummy bnisl ba ba ba ba.	49:58.3	409		
17	YTG326	Bnisl beu bnisi bcum.	54:11.7	517	513	500
17	TFU306	Beget bet ba ba bdui.	54:59.5	507		
17	YTG326	Burna bid ba baugue ba bcurae ba bvestibulum bid bet.	55:01.9	517		
17	TFU306	Bnibh bmi ba bnulla bin bquis beros beni ba beuismod ba bproin ba ba ba bsit ba.	55:28.4	507		
17	TFU306	Bpede bad ba.	55:48.1	507		
17	SLP187	Borci but bposuere bmorbi ba ba bper ba.	55:55.4	409		
17	TFU306	Bdiam beu ba ba bmi bturpis ba bac bgravida.	56:17.8	507		
17	SLP187	Benim bmi.	56:38.2	409		
17	TFU306	Beros bat ba ba bmontes bac beni bnon btempor.	56:46.0	507		
17	SLP187	Bnisi beu ba bat ba.	57:08.2	409		
17	TFU306	Bquis bmi.	57:09.4	507		
17	TFU306	Borci but ba bpraesent berat beleifend.	57:25.4	507		
17	TFU306	Bnisl bin bconubia bfacilisi bvel ba.	57:46.5	507		
17	EPB160	Belit bac ba.	58:42.6	409		
17	EPB160	Bdiam beu ba ba ba.	59:12.1	409		
17	EKW143	Bquam bid barcu bclass bnam bquam ba bvitae bmattis bclass.	00:21.9	517	505	500
17	QMF308	Bduis but ba bsem bac btempor.	00:42.7	513		
17	EKW143	Bcras bmi benim ba ba btellus ba.	01:20.1	517	505	500
17	DWK315	Bnibh but ba ba bnisl ba ba.	01:25.4	503		
17	SGN329	Barcu but ba borci ba ba.	01:44.4	409		
17	FUR610	Beros bet bve ba.	01:47.6	517	513	500
17	QMF308	Bquam bat ba bfelis bipsum bpellentesque begestas.	02:31.3	513		
17	YKL520	Bodio bve ba blibero bdui bipsum bturpis ba.	02:41.6	511		
17	YKZ247	Bpede bac bve ba ba bhac ba bgravida.	02:48.4	209		
17	BHK490	Bamet but.	03:07.6	413		
17	YKL520	Burna bat ba borci bnam ba ba.	03:13.0	511		
17	EMV512	Berat beu.	03:33.1	517	503	500
17	YKL520	Bnunc bat ba bcras ba ba bve bad.	03:45.5	511		
17	GYV645	Bnisl bad ba ba ba.	03:55.6	515		
17	SVK948	Bquam bad.	04:04.1	629		
17	QMF308	Bpede beu ba bornare bdiam bac ba ba ba bve bauctor ba ba.	04:15.4	513		
17	GYV645	Beget bet ba ba bipsum btempor ba ba bsed ba bdui.	04:18.4	515		
17	QMF308	Bodio beu ba bet ba bvel ba ba but bnam.	04:34.0	513		
17	YKL520	Borci bin.	04:36.6	511		
17	EMV512	Bodio bid.	04:41.7	517		
17	SVK948	Bante bac bad ba.	04:59.0	629		
17	QMF308	Belit beu.	05:05.6	513		
17	YKL520	Berat bac beu bmus bat.	05:10.1	511		
17	EMV512	Burna bat bad binterdum ba best bscelerisque ba bac btempor.	05:14.6	517	309	300
17	KWT597	Bcras but ba bmattis ba.	06:32.0	507	413	400
17	UJB305	Bcras bac ba bve bmi best bcum bmassa ba bpede ba bvel.	06:44.7	509		
17	KWT597	Berat bin ba ba bsit best bmi brutrum bper.	06:54.6	507		
17	KWT597	Berat beu bac ba ba but bquam ba.	07:19.9	507		
17	LWK693	Bnunc bmi bquis ba bper bvelit.	07:24.9	409		
17	LWK693	Bamet bac.	07:44.3	409		
17	KWT597	Bamet beu.	07:48.3	507		
17	KWT597	Bdiam bat bac ba ba ba ba blacus bve ba bmus.	08:15.2	507		
17	KWT597	Burna but.	08:39.2	507		
17	UYZ958	Bnisi bad ba ba bdis but bproin but ba bmattis ba.	09:03.3	413		
17	KWT597	Benim but bve bnec bid bpede blibero ba binterdum ba ba ba.	09:04.1	507		
17	KWT597	Bnisl bid ba beu ba beros bmus ba bvel bsit ba bnam belit ba.	09:17.4	507		
17	KWT597	Beros bad ba bac bve bdolor.	09:37.8	507		
17	YKZ247	Bnibh bmi bve bleo bve bposuere.	10:04.7	209		
17	GMS924	Bamet bad ba bturpis bnec bid.	11:00.7	205		
17	GMS924	Bnisl bac ba bdis ba borci bat ba bsit bdolor bcongue.	11:52.1	205		
17	QFB620	Bnisi beu ba ba burna ba bturpis bvarius bsollicitudin.	13:15.7	511		
17	QFB620	Bduis beu ba bfermentum bhac bet ba.	13:36.0	511		
17	QVS392	Belit bet ba bnec bquis ba.	15:20.1	409		
17	HTI974	Belit bac ba bin bcum bnam baptent bporta ba bid bporta bmi bquam ba.	17:10.2	629		
17	WMR075	Bnunc bin ba ba beu ba bac ba.	17:14.1	517		
17	HTI974	Bcras beu.	17:31.4	629		
17	ULN810	Bpede bac.	17:40.7	509		
17	ULN810	Barcu bid bet bve baugue ba ba.	18:10.2	509		
17	HTI974	Bquam bac ba ba ba bin bsed ba ba bmi ba bfames barcu bmalesuada.	18:12.4	629		
17	WMR075	Bquis bac ba ba beu bpede bodio bcondimentum btempus.	18:35.4	517	505	500
17	WMR075	Barcu bat ba bnam.	19:34.8	517	505	500
17	BEC741	Burna bmi ba.	21:20.4	513		
17	ULN810	Bnisi bin bnunc bnec ba ba baptent.	21:48.7	509		
17	ODX806	Burna beu ba bcum ba bmi bsemper.	22:00.1	629		
17	YKZ247	Bquis beu ba bdui btaciti beu ba bneque bcongue ba ba ba beuismod.	22:01.0	209		
17	ULN810	Bnibh bid blacinia bquam ba.	22:09.8	509		
17	PSZ241	Bante bat ba bmus.	22:13.7	511		
17	TGJ401	Bdiam bid ba bsem ba bipsum ba bvelit bprimis.	22:16.5	507		
17	WMR075	Bnisl bid.	22:18.6	517	401	400
17	ODX806	Bquis bmi ba ba.	22:32.3	629		
17	TGJ401	Borci bac bblandit betiam ba bsed ba ba bipsum.	22:36.4	507		
17	ULN810	Benim bid.	22:36.7	509		
17	BEC741	Bduis bat ba ba ba ba ba ba.	22:40.6	513		
17	PSZ241	Bquam bmi ba ba.	22:48.2	511		
17	TGJ401	Benim bet ba.	22:55.6	507		
17	BEC741	Benim bid ba bdui ba bsodales bdui bvelit bluctus bmagna.	23:00.4	513		
17	PSZ241	Barcu bve ba btortor blacinia ba best bnisl burna bcras bleo bad bet.	23:06.4	511		
17	ULN810	Burna bmi.	23:10.3	509		
17	TGJ401	Belit bid ba bante ba ba ba bcurae bnon bnec.	23:20.7	507		
17	TGJ401	Borci bet ba bsit.	24:01.4	507		
17	TGJ401	Bcras beu.	24:31.7	507		
17	PGN796	Bante but ba ba blitora bdonec ba.	24:52.4	517		
17	QME682	Bnibh bin ba ba ba.	24:54.1	205		
17	YKL520	Bquam bid bsodales.	25:02.0	515	503	500
17	TGJ401	Bnunc but bad bvel ba.	25:08.3	507	401	400
17	TGJ401	Beget bin ba ba ba.	25:31.5	507		
17	ULN810	Bnibh bmi ba ba ba but.	25:39.2	509		
17	TGJ401	Bpede bac ba bad bfames bsodales beni ba ba barcu ba ba ba.	25:50.9	507		
17	ULN810	Berat bet.	26:01.5	509		
17	ULN810	Bduis bad ba bet.	26:23.7	509		
17	WDM529	Bquis bve ba bmattis ba btempus beu ba bvel ba bleo.	26:47.8	409		
17	PGN796	Bamet but.	27:19.3	517		
17	EQK798	Berat bid ba bante bnetus bdui bnec.	27:28.2	409		
17	YKL520	Bdiam bmi ba ba bjusto.	27:31.0	515	507	500
17	JDY852	Bquis bin ba best.	27:34.5	209		
17	PYH561	Bamet beu ba ba ba but.	27:36.0	413		
17	YKL520	Bnunc bat ba bsem ba bnunc ba ba bmi.	28:05.4	515	503	500
17	UFV140	Berat bad ba bnullam bmus ba ba bduis.	28:06.7	629		
17	JDY852	Bdiam bve bmi bsagittis ba bvel bfames bpotenti.	28:16.9	209		
17	BDV695	Benim bad.	28:56.3	629		
17	PGN796	Bnunc bet bin ba bmetus bmolestie ba ba bparturient.	28:57.0	517		
17	BDV695	Beget bid ba ba ba ba ba bfermentum ba bin.	29:25.7	629		
17	BDV695	Beros but bid bnec bvivamus bipsum beros ba ba ba bmagna bvehicula blorem.	30:18.2	629		
17	PGN796	Bdiam bac ba ba ba.	30:33.5	517		
17	KHN863	Barcu bad ba.	31:54.2	517	505	500
17	OIF375	Bnisl bac ba bper bdiam beros bnam ba bleo ba bnam ba bvulputate bmetus.	32:03.0	507		
17	OIF375	Borci bve ba bin berat ba bfringilla.	32:18.7	507		
17	LYX953	Bcras bmi ba ba bmetus bve bet ba ba ba bfelis.	32:21.7	107		
17	TLW135	Bquis bet ba brisus bmetus beu ba ba ba.	32:39.0	517		
17	YPV702	Bquam bad ba bve bsagittis ba ba ba ba bve bleo.	32:40.3	409		
17	OIF375	Bnisl bid binteger baugue.	32:45.5	507		
17	OIF375	Bquis bve ba bmontes beros ba.	33:08.9	507		
17	FNG604	Bnisl bac bve bsit bdui burna.	33:13.9	509		
17	OIF375	Burna bid.	33:27.2	507		
17	FNG604	Bcras bin ba bsemper bper ba berat ba.	33:30.4	509		
17	OIF375	Bante bet ba ba ba ba ba ba ba bnam.	33:47.6	507		
17	OIF375	Bquam bin bet bsem bquisque bet.	34:13.2	507		
17	QFB620	Bduis bad ba.	34:53.0	515		
17	OIF375	Bcras bin.	34:54.2	507	401	400
17	YNQ647	Bduis but ba bturpis ba ba.	35:01.8	629		
17	LYX953	Benim bac ba ba bet beni binteger.	35:05.7	107		
17	TJV623	Bquis but bin bmus ba ba btempor ba bmollis bid.	35:13.3	513		
17	OIF375	Bquam but beu bnam bac ba bvel baugue beuismod bleo ba bpharetra beget bac ba.	35:16.1	507		
17	XYI250	Bcras beu bduis best bat barcu ba bdolor berat borci belit bat ba bsit ba.	35:23.7	209		
17	OIF375	Barcu bat ba.	35:41.7	507		
17	TLW135	Bodio but.	35:55.6	517		
17	YNQ647	Barcu bin.	36:00.5	629		
17	XYI250	Bamet bmi ba baptent.	36:03.0	209		
17	QFB620	Beget but bet ba ba bdui blibero ba borci bcurae bpellentesque.	36:18.0	515	503	500
17	YNQ647	Bnisl bmi ba ba ba beni bhendrerit bauctor bmus blorem bmauris bid bfelis bet.	36:28.4	629		
17	YTG326	Bnunc bad ba bnunc.	37:03.4	629		
17	CQO892	Bodio bet ba bper ba bquam ba ba ba bquisque.	37:45.8	511		
17	KIM819	Bdiam bat.	38:07.0	517	503	500
17	CQO892	Bpede bac.	38:30.0	511		
17	KIM819	Burna but burna ba bcras ba betiam.	38:55.4	517	507	500
17	CQO892	Bdiam but ba ba bcubilia btaciti ba bnec bmi blorem.	39:19.6	511		
17	NGC871	Belit bve.	39:32.3	513		
17	KIM819	Bamet bve ba bsem bligula bclass bhac.	39:48.6	517	501	500
17	CQO892	Bnunc bad ba ba bsed baenean betiam.	39:56.3	511		
17	LWK693	Bnisl bve ba bdiam ba ba bpede ba betiam bquam bad bid ba ba btortor ba.	40:13.2	413		
17	KIM819	Benim bad ba ba ba ba ba ba.	40:25.2	517		
17	CQO892	Bnisl bad.	40:46.3	511		200
17	GDU671	Bnunc bad ba blectus ba bnostra beu bdiam btempor bper bsit ba bad bsociis.	41:17.0	409		
17	CQO892	Belit beu bmi ba ba bnon bmi.	41:21.8	511		
17	CQO892	Bnisi but.	41:54.7	511		
17	NGC871	Bduis bad bcras bcurae ba bsuscipit ba.	41:57.7	513	209	200
17	CQO892	Borci bmi ba ba ba bsociis benim ba.	42:25.4	511		
17	GMS924	Bante bid ba bfaucibus ba bnon.	42:56.2	409		
17	BHK490	Bduis but ba brutrum ba ba bnon bvenenatis btortor bat ba beu ba.	43:14.1	209		
17	YKZ247	Bamet bmi bet bdui ba ba.	45:52.1	509		
17	YKZ247	Bnibh beu.	46:16.4	509		
17	YKZ247	Bnunc bet ba.	46:36.8	509		
17	QVS392	Burna bac bve beu.	49:31.3	413		
17	ELI075	Belit bat.	49:41.7	409		
17	QMF308	Bnunc bet ba ba baptent bper bet ba ba.	50:18.9	517	505	500
17	NVM832	Beros bve ba bmassa bac bauctor ba ba.	50:49.1	507	413	400
17	NVM832	Bamet bid ba bmollis ba bmi ba bsed bat ba.	51:23.2	507		
17	NHR180	Bnunc bad.	51:40.0	629		
17	NHR180	Burna bmi bin ba bneque bve ba bmi ba bvelit bdonec bac baenean.	51:57.5	629		
17	NVM832	Bcras but bat ba bet btellus burna.	52:03.8	507		
17	DWK315	Bnibh bac ba bad bmagnis ba ba bin ba.	52:19.6	511		
17	NHR180	Bnibh bad ba bleo bsem.	52:24.3	629		
17	NVM832	Bdiam bmi ba but ba.	52:40.5	507		
17	DWK315	Bquis bid.	52:51.5	511		
17	NVM832	Bante beu.	53:00.3	507		
17	NVM832	Bnisl but.	53:21.0	507		
17	DWK315	Belit bid ba ba.	53:24.3	511		
17	TLW135	Bnisl beu bad ba bfames barcu bmattis.	53:31.7	517		
17	UYZ958	Bquam bve ba.	53:42.2	209		
17	NVM832	Borci bid bac ba ba ba.	53:43.4	507		
17	DWK315	Beros bac ba bad bsem ba ba bimperdiet bcum bid bsodales ba.	54:02.6	511		
17	NVM832	Bnisl bet bad bac bduis bpede bmagnis ba bnam bsem.	54:03.9	507		
17	NVM832	Bquis bac ba ba.	54:21.0	507		
17	YLB740	Bpede bve ba barcu ba bve ba.	54:26.1	517		
17	DWK315	Beget bat ba bve bper bpurus baptent.	54:50.6	511		
17	NVM832	Bpede bet bac bcras btortor ba ba ba bdui ba ba.	54:51.0	507		
17	YLB740	Bpede bve.	55:34.9	517		
17	YLB740	Belit bat.	56:09.9	517		
17	YLB740	Bodio bac bin betiam bat bcongue bmetus ba bnam ba bmetus bante belit bin.	57:13.4	517		
17	SVK948	Bduis bac ba bdictum ba ba bdictum bsit ba btaciti btincidunt bblandit.	58:46.7	517		
17	EWM290	Bquis bet ba bin ba bmi bin bac bpede.	59:01.9	629		
17	JLD084	Burna but bin ba.	59:12.1	509		
17	EWM290	Bante bid.	00:56.5	629		
17	MBF976	Berat bin ba ba ba ba bporttitor bpede bac ba ba ba.	01:45.3	507		
17	MBF976	Bduis bac ba ba ba bleo ba.	02:12.3	507		
17	BEC741	Bpede bad ba ba ba bvelit bve bpede bleo ba ba bdis.	02:18.8	517	505	500
17	MBF976	Bnisi beu ba ba.	02:34.5	507		
17	PSZ241	Borci bid baliquam bipsum ba bnostra bporttitor baliquet ba.	03:13.8	515		
17	MBF976	Bnisi bmi.	03:18.7	507		
17	JLD084	Bquam bid ba bad ba ba.	03:20.9	509		
17	PSZ241	Borci but ba bcras bnec ba bhac ba baliquam bpotenti.	03:36.4	515		
17	MBF976	Bnisl bve ba bvarius ba bve ba bet bhac bet beu bin ba.	03:37.5	507		
17	MBF976	Bquam bid bin ba bdictum ba bsapien barcu bac ba bid brisus.	03:59.2	507		
17	PSZ241	Bnunc but ba bante.	04:03.8	515		
17	MBF976	Borci bid ba ba bet bve bdolor bmagnis bfames bsem bdui.	04:25.7	507	403	400
17	PSZ241	Bcras beu.	04:33.9	515	503	500
17	MBF976	Bamet bmi bac bper ba ba ba berat bve ba bmattis ba.	04:58.7	507		
17	PSZ241	Bcras bid ba ba bvel bnam bquam.	04:59.9	515		
17	MBF976	Belit bat bve benim ba ba.	05:23.6	507		
17	YPV702	Beget bad.	05:47.2	409		
17	TFU306	Bante bat ba bsit bac beuismod.	05:48.9	511		
17	YPV702	Bamet bve ba baliquam ba bhac ba ba ba.	06:16.4	409		
17	EPB160	Bnunc bin bet ba ba ba baliquet.	06:17.6	209		
17	TFU306	Benim bat ba bsapien bante bhac bmus blacus ba bsollicitudin best.	06:23.4	511		
17	EPB160	Bquam beu.	06:41.8	209		
17	TFU306	Benim bet ba bsem bcursus bfusce bve ba ba bvenenatis.	07:19.7	511		
17	YPV702	Bquis bet ba.	07:30.5	409		
17	LNY482	Borci bmi ba bac bsit bipsum bposuere bdis bnetus ba bodio bet ba.	07:43.3	513	209	200
17	UFV140	Beget bac ba bet ba btellus.	09:36.1	517		
17	UJB305	Barcu bet ba bnam.	10:18.9	513	209	200
17	UFV140	Bdiam but bin bduis.	10:28.5	517		
17	LWK693	Belit bac ba borci bquis bhac ba.	11:02.6	209		
17	UFV140	Bnibh bac ba ba ba bdis beget bpede bcum ba.	11:15.1	517	405	400
17	UFV140	Berat bmi.	11:41.0	517		
17	CQO892	Bante bat ba ba bet ba bsed bat.	13:29.6	515	209	200
17	CQO892	Belit bin beuismod ba bve bligula.	13:52.8	515		
17	JDY852	Bante bet bve beros bdui.	14:33.2	509		400
17	JDY852	Bnisi bet bad bmus bfacilisis brutrum bad.	14:57.4	509		
17	EGK921	Belit beu ba.	15:05.8	507	401	400
17	LWK693	Bnibh beu ba but ba beni bodio ba.	15:14.7	209		
17	JDY852	Barcu bmi bad ba.	15:18.7	509		
17	PGN796	Bcras bmi bduis beu ba ba.	15:23.0	629		
17	EGK921	Bcras bid bat bsem beu bin bante beni ba ba.	15:29.0	507		
17	EGK921	Bquam bac ba bsit benim ba ba bdis.	15:44.9	507		
17	JDY852	Bante bmi.	15:53.7	509		
17	PGN796	Bnisl bet ba ba bve betiam ba.	16:02.8	629		
17	TJV623	Bduis bat ba.	16:10.6	517	505	500
17	EGK921	Beget bac bat ba bvarius bve.	16:11.6	507		
17	BEM390	Bnibh bat bante ba bdis ba.	16:28.3	409		
17	EGK921	Bnibh bin.	16:36.8	507		
17	PGN796	Berat bad ba ba ba bsit.	16:44.1	629		
17	KWT597	Beget bin bposuere ba bsollicitudin.	16:48.5	511		
17	EGK921	Benim bin.	16:55.1	507		
17	EGK921	Borci bin bid bmus bper bprimis benim bnam.	17:13.1	507		
17	PGN796	Benim bmi ba bamet ba bcongue ba ba bad bhac.	17:20.3	629		
17	KWT597	Burna bin ba.	17:33.5	511		
17	EGK921	Bpede bat ba ba beget.	17:38.1	507		
17	PGN796	Bante beu ba ba ba ba bid bin betiam ba bdis ba ba ba ba ba bvel barcu.	17:44.3	629		
17	DFZ024	Bamet bet bat ba brisus.	17:45.9	205		
17	SLP187	Borci bet.	17:47.1	409		
17	EGK921	Belit bve.	17:56.9	507		
17	TJV623	Bnibh beu.	17:59.4	517	505	500
17	SLP187	Bquis bve ba ba ba beu ba ba ba bdignissim bconsectetuer bnisl beni.	18:12.3	409		
17	EGK921	Barcu bid.	18:21.4	507		
17	EGK921	Bduis bve ba but bmassa.	19:02.7	507	409	400
17	SLP187	Borci bve ba bet ba ba bfames blectus bdolor.	19:07.3	409		
17	SLP187	Bnunc bac borci belit bsed.	19:42.4	409		
17	SLP187	Bduis bat.	20:19.2	409		
17	SLP187	Bduis bmi bgravida blorem ba bper ba ba bmi bet ba.	20:51.8	409		
17	JDY852	Belit bat ba bmus ba bporta ba.	21:02.9	509		
17	GMS924	Bnibh bmi ba bduis baugue bid bve.	21:58.5	413		
17	UJB305	Bnibh bat ba.	23:03.8	513	209	200
17	QVS392	Bodio bin ba btaciti.	23:19.1	209		
17	EQK798	Bquis bin ba baugue bve ba ba.	23:56.4	205		
17	TLW135	Borci beu ba ba bnatoque blectus btorquent ba bdui bnibh borci bdis ba bvel bdis.	24:40.1	629		
17	ULN810	Bcras bve ba ba.	24:49.0	513		
17	TLW135	Bquam bac bdiam bnunc bhac but bmi.	24:55.8	629		
17	TIP072	Bnibh bin ba ba beu brutrum ba bante ba bdui.	24:59.4	517		
17	TIP072	Bnisl bad bmi bclass ba bac ba ba bdictum.	26:45.7	517		
17	SLP187	Bnisl bad ba ba ba bper benim.	27:44.8	409		
17	TGS974	Belit bat ba blorem binterdum bmagna bmattis ba bpurus bduis bquis bsit bin bmi bmassa btempus ba ba.	27:46.2	205		
17	XYI250	Burna bve bet bduis ba ba ba best baliquet.	27:55.8	507	413	400
17	QFB620	Beros bad ba ba bin beni bamet baenean ba.	28:07.1	629		
17	RZW691	Beros bin ba ba ba ba ba ba.	28:09.4	517		
17	XYI250	Beros bac bpotenti bdonec bduis bdiam ba bpotenti.	28:20.3	507		
17	SGN329	Barcu bid ba.	28:25.5	409		
17	HMX073	Bnibh bac bid bmus binceptos bet bplatea bduis ba baptent ba ba bat baliquam bporta ba.	28:35.1	209		
17	XYI250	Bduis but ba ba ba bpede.	28:38.0	507		
17	XYI250	Bodio beu ba but bve bin bmorbi ba beni ba.	28:55.7	507		
17	HMX073	Borci but.	29:05.8	209		
17	XYI250	Belit bac ba ba bcum blitora bneque.	29:17.0	507		
17	XYI250	Bante bmi ba bsit ba ba bhac bnec bornare but ba ba.	29:34.0	507		
17	TGJ401	Bcras beu ba ba bin bve.	29:51.0	511		
17	XYI250	Bquis but ba.	29:52.1	507		
17	HMX073	Benim but ba bat bcum ba ba ba bfusce ba.	30:09.8	209		
17	XYI250	Bpede bac.	30:17.6	507		
17	TGJ401	Beros bet.	30:20.4	511		
17	XYI250	Bpede but ba ba.	30:46.2	507		
17	TGJ401	Barcu bid.	30:50.8	511		
17	ITO673	Benim bid ba ba beu bsit bleo ba bamet ba bper.	31:11.1	413		
17	XYI250	Burna bac.	31:15.1	507	409	400
17	DWK315	Bduis beu ba bhac ba ba ba ba bhabitasse ba bnisl ba ba bat ba bat baliquet.	31:22.7	515		
17	DWK315	Bduis bet bve beni ba bnullam.	32:00.8	515		
17	EMV512	Borci bet bac.	32:01.2	629		
17	DWK315	Borci bac brhoncus ba bve bnetus bpotenti best ba bat.	32:37.1	515		
17	ITO673	Bodio bve.	33:10.0	413		
17	WDM529	Benim bid.	35:14.4	209		
17	TCS146	Bnisi bin ba bat bad.	36:05.6	409		
