TS_LOAD	ITEM_NO	SHORT_TYPE_CD	RESOLVED	VEH_SER_NO
46:43.8	DAMK-91025-HUNE	E	FALSE	UAE908
46:55.3	NQOP-05841-YTMU	E	TRUE	MHR081
57:29.2	XOGL-46912-QDAU	I	FALSE	WMR075
58:09.7	UJMC-70236-GKZI	B	TRUE	YLB740
21:14.0	VPTF-78239-PNCI	T	FALSE	USD901
21:50.7	TGNI-17930-CANI	I	TRUE	QZH295
27:51.6	UJMC-70236-GKZI	T	FALSE	JIN079
28:28.3	DPON-17239-UZOH	O	TRUE	ODU307
50:33.4	TGNI-17930-CANI	I	FALSE	BRL042
51:12.8	NQOP-05841-YTMU	B	TRUE	YZU059
45:18.4	DIHN-39481-XOQS	O	FALSE	XDQ831
45:48.7	SZPK-27901-CSXW	T	TRUE	ELJ539
33:27.4	UJMC-70236-GKZI	B	FALSE	DZO637
33:31.7	YMEA-30754-XQEI	I	TRUE	MHU637
02:09.5	BQPK-36857-WOLS	I	FALSE	YKL520
02:11.8	ERLA-57149-MIRO	T	TRUE	MXF684
09:37.4	ERZW-20817-YRLG	I	FALSE	DSG417
09:58.4	VEMQ-67820-TLVH	I	TRUE	DPL397
34:35.8	WBQT-86291-BZYS	I	FALSE	KPS365
35:18.4	ERLA-57149-MIRO	B	TRUE	RZW691
00:58.5	DIHN-39481-XOQS	T	FALSE	VFR160
01:25.9	DIHN-39481-XOQS	B	TRUE	CSM507
16:35.8	UJMC-70236-GKZI	O	FALSE	ZYA587
16:58.0	UWET-47108-UWME	I	TRUE	GVB853
52:15.8	BTHL-20158-RUVM	E	FALSE	QZH295
52:51.1	DIHN-39481-XOQS	O	TRUE	OTS758
07:50.8	JBVD-05396-EMGK	O	FALSE	DPL397
08:50.1	BQPK-36857-WOLS	E	TRUE	BOD789
52:54.6	ERZW-20817-YRLG	E	FALSE	GYV645
53:02.5	UQXD-15726-BIPT	E	TRUE	EPB160
01:57.4	BTHL-20158-RUVM	I	FALSE	FUR610
02:35.1	YMEA-30754-XQEI	E	TRUE	OQA530
38:45.1	XOGL-46912-QDAU	T	FALSE	XGC043
39:20.7	UQXD-15726-BIPT	O	TRUE	QOI045
34:29.1	YMEA-30754-XQEI	T	FALSE	ASX065
35:26.3	JBVD-05396-EMGK	I	TRUE	JTM078
59:37.4	XOGL-46912-QDAU	O	FALSE	TXM724
59:47.3	YMEA-30754-XQEI	I	TRUE	NMH495
43:26.7	DPON-17239-UZOH	E	FALSE	SCQ391
44:23.5	KGAH-24630-HVWS	T	TRUE	LWK693
45:55.3	DAMK-91025-HUNE	E	FALSE	USK521
46:42.9	VEMQ-67820-TLVH	O	TRUE	GLN762
27:52.9	DIHN-39481-XOQS	B	FALSE	OIF375
28:04.7	DAMK-91025-HUNE	T	TRUE	DKW659
05:38.5	ERLA-57149-MIRO	O	FALSE	IXM739
26:00.7	JEIA-69245-JRZK	B	FALSE	USH564
26:38.4	JEIA-69245-JRZK	E	TRUE	BTN205
09:42.8	WBQT-86291-BZYS	T	FALSE	GIJ387
10:17.4	DAMK-91025-HUNE	O	TRUE	SVP127
22:37.8	JEIA-69245-JRZK	B	FALSE	QMK746
22:59.0	UJMC-70236-GKZI	B	TRUE	SVK948
52:26.2	UQXD-15726-BIPT	I	FALSE	GBP392
52:37.0	DAMK-91025-HUNE	T	TRUE	QLV652
01:18.2	VEMQ-67820-TLVH	I	FALSE	NVQ785
02:16.6	DIHN-39481-XOQS	E	TRUE	EGK921
58:51.3	NQOP-05841-YTMU	T	FALSE	NKE126
59:39.0	VPTF-78239-PNCI	B	TRUE	JCV863
23:34.5	WBQT-86291-BZYS	O	FALSE	FYA015
24:18.0	VPTF-78239-PNCI	E	TRUE	NVQ785
14:33.7	UQXD-15726-BIPT	T	FALSE	GKT173
14:54.3	VPTF-78239-PNCI	B	TRUE	AVX943
38:59.0	VPTF-78239-PNCI	B	FALSE	LWK693
39:16.6	KGAH-24630-HVWS	T	TRUE	YCU023
48:56.2	ERZW-20817-YRLG	I	FALSE	YKL719
49:43.0	NQOP-05841-YTMU	B	TRUE	UJB305
11:06.2	SZPK-27901-CSXW	I	FALSE	YJQ513
11:40.8	VPTF-78239-PNCI	E	TRUE	JYE197
17:54.4	TGNI-17930-CANI	B	FALSE	KQN543
18:48.2	WBQT-86291-BZYS	T	TRUE	LNW546
50:09.9	DIHN-39481-XOQS	T	TRUE	OTX594
31:22.2	UWET-47108-UWME	I	FALSE	SPF970
32:15.5	JBVD-05396-EMGK	E	TRUE	YGL283
08:33.8	BTHL-20158-RUVM	O	FALSE	VZU602
09:01.3	BQPK-36857-WOLS	O	TRUE	XET976
23:01.7	JBVD-05396-EMGK	I	FALSE	ZBG249
23:03.9	VPTF-78239-PNCI	E	TRUE	HQI892
55:08.2	XOGL-46912-QDAU	T	FALSE	MUJ483
55:44.9	TGNI-17930-CANI	T	TRUE	KZN183
51:40.0	ERZW-20817-YRLG	T	FALSE	XNZ706
52:12.2	BTHL-20158-RUVM	E	TRUE	PLD957
23:24.9	KGAH-24630-HVWS	I	FALSE	YJQ513
23:53.0	SZPK-27901-CSXW	T	TRUE	RVM670
52:28.0	SZPK-27901-CSXW	I	FALSE	GXY421
52:46.3	TGNI-17930-CANI	B	TRUE	QOB581
51:07.9	ERLA-57149-MIRO	T	FALSE	EIV921
51:30.7	NQOP-05841-YTMU	O	TRUE	TRJ645
14:35.7	YMEA-30754-XQEI	T	FALSE	KAH129
14:39.3	NQOP-05841-YTMU	I	TRUE	ERT957
08:07.8	DIHN-39481-XOQS	I	FALSE	XEG792
08:24.8	VPTF-78239-PNCI	I	TRUE	LZQ657
41:38.9	VEMQ-67820-TLVH	O	FALSE	UWT728
42:16.6	KGAH-24630-HVWS	I	TRUE	TUQ327
55:51.3	VEMQ-67820-TLVH	O	FALSE	ARS065
56:25.8	JBVD-05396-EMGK	B	TRUE	RPN162
50:32.4	WBQT-86291-BZYS	E	FALSE	FYX245
50:39.1	BQPK-36857-WOLS	O	TRUE	JNV280
09:35.9	XOGL-46912-QDAU	E	FALSE	EGQ483
09:55.2	WBQT-86291-BZYS	T	TRUE	QMF308
37:22.0	NQOP-05841-YTMU	O	FALSE	AYO527
37:37.4	ERLA-57149-MIRO	T	TRUE	YWI795
13:11.3	ERLA-57149-MIRO	E	FALSE	QRM025
13:32.9	UQXD-15726-BIPT	O	TRUE	CNI053
13:34.8	JEIA-69245-JRZK	T	FALSE	QTF497
14:16.2	SZPK-27901-CSXW	O	TRUE	REG270
37:48.5	JEIA-69245-JRZK	I	FALSE	CSD174
38:31.6	UQXD-15726-BIPT	O	TRUE	EJH762
12:06.1	XOGL-46912-QDAU	B	FALSE	QMK746
12:10.7	ERLA-57149-MIRO	I	TRUE	TQL981
52:36.4	VEMQ-67820-TLVH	I	FALSE	JCV863
52:56.1	TGNI-17930-CANI	B	TRUE	XPS568
46:49.3	KGAH-24630-HVWS	E	FALSE	FYX245
46:57.6	WBQT-86291-BZYS	O	TRUE	UZV267
59:27.2	DAMK-91025-HUNE	E	FALSE	QFB509
00:19.8	WBQT-86291-BZYS	I	TRUE	JYC109
49:09.4	WBQT-86291-BZYS	O	FALSE	KUR214
49:14.0	UWET-47108-UWME	I	TRUE	EQC843
27:48.8	UWET-47108-UWME	I	FALSE	QOI045
27:51.5	ERLA-57149-MIRO	I	TRUE	ACM236
57:10.8	NQOP-05841-YTMU	I	FALSE	ZJC386
58:10.2	ERLA-57149-MIRO	E	TRUE	MVW427
54:35.3	DPON-17239-UZOH	I	FALSE	PYH561
54:51.1	DAMK-91025-HUNE	E	TRUE	BOD789
23:27.6	TGNI-17930-CANI	O	FALSE	SCQ391
23:36.8	DIHN-39481-XOQS	I	TRUE	JXK205
47:07.9	BTHL-20158-RUVM	T	FALSE	GVB853
48:04.0	UJMC-70236-GKZI	T	TRUE	MVW427
23:00.6	BTHL-20158-RUVM	B	FALSE	ZFK821
23:44.7	DPON-17239-UZOH	E	TRUE	AUQ826
19:05.8	YMEA-30754-XQEI	I	TRUE	HPG356
47:23.4	UJMC-70236-GKZI	E	FALSE	LED479
47:32.8	UJMC-70236-GKZI	I	TRUE	LEA891
02:09.1	XOGL-46912-QDAU	E	FALSE	DCM402
03:06.4	BQPK-36857-WOLS	E	TRUE	GYI784
31:03.5	DPON-17239-UZOH	B	FALSE	FAQ785
32:00.7	JEIA-69245-JRZK	O	TRUE	TCS146
05:12.7	BQPK-36857-WOLS	O	FALSE	FHU982
05:53.0	UQXD-15726-BIPT	O	TRUE	XVO159
20:02.6	JEIA-69245-JRZK	T	FALSE	BKS051
20:41.3	VPTF-78239-PNCI	E	TRUE	AWF720
33:11.0	XOGL-46912-QDAU	I	FALSE	AKC912
33:46.8	VEMQ-67820-TLVH	O	TRUE	EPB160
36:51.0	UWET-47108-UWME	I	FALSE	WYP854
37:41.3	YMEA-30754-XQEI	T	TRUE	QAB348
30:28.6	YMEA-30754-XQEI	E	FALSE	HEQ743
30:28.8	UQXD-15726-BIPT	T	TRUE	TFX540
48:09.3	JEIA-69245-JRZK	I	FALSE	LWK693
48:15.0	TGNI-17930-CANI	B	TRUE	IXT460
23:28.7	VEMQ-67820-TLVH	B	FALSE	KCN784
23:52.5	SZPK-27901-CSXW	E	TRUE	ROG638
34:29.7	WBQT-86291-BZYS	O	FALSE	AQG261
35:24.1	UJMC-70236-GKZI	T	TRUE	DGE501
38:43.4	YMEA-30754-XQEI	B	FALSE	OTS758
39:19.1	BTHL-20158-RUVM	T	TRUE	DHQ490
38:45.2	ERZW-20817-YRLG	T	FALSE	LNW546
38:55.7	BQPK-36857-WOLS	E	TRUE	SCQ391
36:44.4	JBVD-05396-EMGK	E	FALSE	OAW568
36:59.1	VEMQ-67820-TLVH	E	TRUE	LPF925
51:32.9	YMEA-30754-XQEI	B	FALSE	NIH936
51:45.2	UQXD-15726-BIPT	E	TRUE	IOU412
13:31.6	SZPK-27901-CSXW	O	FALSE	FMU279
14:08.7	XOGL-46912-QDAU	I	TRUE	MGR987
00:35.7	UWET-47108-UWME	I	FALSE	KCN784
01:23.9	SZPK-27901-CSXW	O	TRUE	VGZ416
50:45.5	NQOP-05841-YTMU	I	FALSE	LMW319
50:52.7	UWET-47108-UWME	T	TRUE	SEK173
30:30.3	UWET-47108-UWME	E	FALSE	BHK490
31:10.4	ERLA-57149-MIRO	O	TRUE	RQJ940
16:58.4	ERZW-20817-YRLG	B	FALSE	GVB853
17:29.6	VEMQ-67820-TLVH	B	TRUE	RQD648
41:48.0	YMEA-30754-XQEI	E	FALSE	PXG218
42:43.6	BTHL-20158-RUVM	B	TRUE	QMA357
02:50.2	YMEA-30754-XQEI	E	FALSE	EXJ810
03:40.0	WBQT-86291-BZYS	E	TRUE	ZVI392
38:57.9	JEIA-69245-JRZK	B	FALSE	ZJK473
39:47.6	KGAH-24630-HVWS	E	TRUE	JUF147
31:45.9	TGNI-17930-CANI	O	FALSE	FZA809
32:02.3	TGNI-17930-CANI	I	TRUE	DPA037
35:59.5	DIHN-39481-XOQS	T	FALSE	ORT859
36:16.1	DAMK-91025-HUNE	B	TRUE	TGJ401
28:18.6	VPTF-78239-PNCI	B	FALSE	PRC732
28:32.2	TGNI-17930-CANI	I	TRUE	AGU058
51:11.5	SZPK-27901-CSXW	B	FALSE	MTV391
51:22.3	UWET-47108-UWME	I	TRUE	UOT175
58:27.9	BQPK-36857-WOLS	B	FALSE	EHI365
59:14.6	JBVD-05396-EMGK	B	TRUE	MRI015
02:59.0	ERLA-57149-MIRO	O	FALSE	TRL028
03:19.1	ERLA-57149-MIRO	E	TRUE	DAJ581
27:59.7	VEMQ-67820-TLVH	T	FALSE	OGH845
28:39.0	JEIA-69245-JRZK	I	TRUE	BHK490
01:06.9	KGAH-24630-HVWS	E	FALSE	ADQ781
01:30.8	BQPK-36857-WOLS	B	TRUE	EGK921
24:11.3	WBQT-86291-BZYS	O	FALSE	XSZ543
24:47.1	UQXD-15726-BIPT	E	TRUE	BWH125
30:41.2	YMEA-30754-XQEI	B	FALSE	MPO083
30:43.9	YMEA-30754-XQEI	T	TRUE	XPR275
43:49.9	DIHN-39481-XOQS	I	FALSE	MIU465
44:05.4	DAMK-91025-HUNE	E	TRUE	DZV145
31:41.0	WBQT-86291-BZYS	T	FALSE	JOM027
32:10.2	BTHL-20158-RUVM	O	TRUE	JGV965
24:59.7	BTHL-20158-RUVM	E	FALSE	TGS974
25:02.1	ERLA-57149-MIRO	O	TRUE	QMF308
33:22.6	VEMQ-67820-TLVH	E	FALSE	DKE275
33:58.1	JBVD-05396-EMGK	T	TRUE	EZA701
14:00.2	SZPK-27901-CSXW	I	FALSE	PMG926
14:57.6	JEIA-69245-JRZK	B	TRUE	VCM016
34:36.4	JEIA-69245-JRZK	O	FALSE	RZW691
35:16.9	VPTF-78239-PNCI	E	TRUE	ZFK821
31:12.7	XOGL-46912-QDAU	O	FALSE	AVP267
31:23.1	UWET-47108-UWME	E	TRUE	SPT823
53:52.2	DPON-17239-UZOH	T	FALSE	ZUV749
54:46.6	TGNI-17930-CANI	O	TRUE	PXG218
42:34.4	YMEA-30754-XQEI	T	FALSE	XEY483
43:02.2	BQPK-36857-WOLS	E	TRUE	EWR145
30:33.4	NQOP-05841-YTMU	E	FALSE	GPJ498
31:18.1	UJMC-70236-GKZI	I	TRUE	ATG468
08:29.3	VPTF-78239-PNCI	T	FALSE	HCS712
08:54.1	XOGL-46912-QDAU	B	TRUE	UWT728
35:46.3	ERZW-20817-YRLG	E	FALSE	ZFK821
36:13.1	NQOP-05841-YTMU	T	TRUE	QMA357
17:37.9	SZPK-27901-CSXW	I	FALSE	WYP854
18:24.5	ERLA-57149-MIRO	I	TRUE	BDV695
05:30.2	UQXD-15726-BIPT	O	FALSE	SVP127
06:05.8	UJMC-70236-GKZI	B	TRUE	RIH403
57:48.9	DAMK-91025-HUNE	T	FALSE	XQV078
58:37.6	JBVD-05396-EMGK	T	TRUE	EJL930
58:46.5	JEIA-69245-JRZK	I	FALSE	LOF143
59:40.2	SZPK-27901-CSXW	E	TRUE	TFU306
40:30.3	KGAH-24630-HVWS	I	FALSE	SGN329
41:24.8	BTHL-20158-RUVM	I	TRUE	QOB581
54:01.0	ERZW-20817-YRLG	B	FALSE	QZB271
54:11.6	VEMQ-67820-TLVH	T	TRUE	DKE275
36:11.8	BTHL-20158-RUVM	I	FALSE	QNT451
36:34.8	ERLA-57149-MIRO	T	TRUE	DEU253
19:34.3	NQOP-05841-YTMU	O	FALSE	CYB497
20:00.4	JEIA-69245-JRZK	T	TRUE	BVW704
32:02.1	SZPK-27901-CSXW	E	FALSE	XWS890
32:53.5	ERLA-57149-MIRO	E	TRUE	JNB610
02:01.8	WBQT-86291-BZYS	B	FALSE	CGV709
02:41.8	VEMQ-67820-TLVH	O	TRUE	NSZ265
09:29.2	DIHN-39481-XOQS	E	FALSE	CJQ075
09:54.8	UWET-47108-UWME	B	TRUE	HFT023
31:43.6	JEIA-69245-JRZK	B	FALSE	DRY562
31:44.1	ERZW-20817-YRLG	E	TRUE	BIP389
50:40.6	XOGL-46912-QDAU	I	FALSE	TRG517
50:46.0	VEMQ-67820-TLVH	T	TRUE	YCU023
36:09.5	UWET-47108-UWME	O	FALSE	EWR145
37:03.0	DAMK-91025-HUNE	B	TRUE	JOM027
23:46.4	JBVD-05396-EMGK	T	FALSE	ELI075
24:31.0	YMEA-30754-XQEI	B	TRUE	GTO457
17:01.2	UQXD-15726-BIPT	T	FALSE	YRW680
17:41.5	DPON-17239-UZOH	I	TRUE	BUL581
10:04.2	TGNI-17930-CANI	T	FALSE	COH304
10:45.7	BTHL-20158-RUVM	B	TRUE	AQG261
26:22.4	ERZW-20817-YRLG	T	FALSE	FTO836
27:10.8	VEMQ-67820-TLVH	O	TRUE	JBF372
18:58.5	DIHN-39481-XOQS	O	FALSE	DFZ024
19:16.9	VEMQ-67820-TLVH	T	TRUE	NVM832
58:13.7	JBVD-05396-EMGK	O	FALSE	YBJ023
58:43.0	VPTF-78239-PNCI	T	TRUE	LEA891
45:45.9	UJMC-70236-GKZI	E	FALSE	HFT023
46:34.7	JEIA-69245-JRZK	I	TRUE	HBM615
42:14.7	BTHL-20158-RUVM	B	FALSE	TOR798
42:32.5	SZPK-27901-CSXW	I	TRUE	YKZ247
36:16.5	YMEA-30754-XQEI	O	FALSE	ZOP278
36:46.4	YMEA-30754-XQEI	E	TRUE	DVM139
13:08.4	DPON-17239-UZOH	T	FALSE	AGU058
14:01.7	WBQT-86291-BZYS	B	TRUE	GBP392
55:59.7	UJMC-70236-GKZI	T	FALSE	OMN803
56:52.6	TGNI-17930-CANI	T	TRUE	WIK896
19:27.4	WBQT-86291-BZYS	T	FALSE	SEU602
19:53.0	DAMK-91025-HUNE	B	TRUE	YZU059
34:44.4	VEMQ-67820-TLVH	E	FALSE	EZM816
35:24.2	SZPK-27901-CSXW	E	TRUE	ZUV749
57:05.3	DPON-17239-UZOH	O	FALSE	PRA475
57:15.3	XOGL-46912-QDAU	T	TRUE	IXM739
44:48.6	DAMK-91025-HUNE	I	FALSE	TDH408
45:35.5	KGAH-24630-HVWS	B	TRUE	OWH831
38:20.7	JBVD-05396-EMGK	I	FALSE	HTI974
38:23.9	YMEA-30754-XQEI	O	TRUE	ROG638
42:03.1	XOGL-46912-QDAU	I	FALSE	XEY483
42:43.4	SZPK-27901-CSXW	O	TRUE	TZO690
45:51.9	SZPK-27901-CSXW	I	FALSE	CQV982
46:35.2	SZPK-27901-CSXW	E	TRUE	DPL397
26:05.3	VPTF-78239-PNCI	B	FALSE	YKZ247
26:38.4	KGAH-24630-HVWS	O	TRUE	SIW958
49:15.3	WBQT-86291-BZYS	B	FALSE	ULN810
50:13.8	VEMQ-67820-TLVH	O	TRUE	ZLK932
14:32.7	XOGL-46912-QDAU	O	FALSE	OWH831
14:57.2	BTHL-20158-RUVM	B	TRUE	CSW718
54:37.0	UJMC-70236-GKZI	T	FALSE	MVW219
55:12.3	JEIA-69245-JRZK	E	TRUE	SPI314
27:36.6	VPTF-78239-PNCI	E	FALSE	UJB305
28:09.1	NQOP-05841-YTMU	I	TRUE	UDE280
57:24.8	DPON-17239-UZOH	T	FALSE	UMC018
58:19.7	WBQT-86291-BZYS	O	TRUE	AHN391
05:27.1	DIHN-39481-XOQS	B	FALSE	VQD376
05:43.2	NQOP-05841-YTMU	I	TRUE	GKZ402
48:41.2	DIHN-39481-XOQS	O	FALSE	GJE530
48:55.6	UQXD-15726-BIPT	I	TRUE	EUZ386
24:27.5	UJMC-70236-GKZI	T	FALSE	YCU023
24:57.3	UJMC-70236-GKZI	I	TRUE	QZB271
21:19.5	BTHL-20158-RUVM	B	FALSE	ASK065
21:43.1	NQOP-05841-YTMU	I	TRUE	XDL201
05:01.3	DPON-17239-UZOH	B	TRUE	AWF720
04:03.8	DPON-17239-UZOH	I	TRUE	YDL247
19:31.3	KGAH-24630-HVWS	I	FALSE	KIA624
20:22.6	SZPK-27901-CSXW	E	TRUE	TRL028
28:05.6	YMEA-30754-XQEI	E	FALSE	PTM350
28:10.8	ERLA-57149-MIRO	T	TRUE	FTO836
00:08.1	WBQT-86291-BZYS	T	FALSE	QAK703
00:09.2	JBVD-05396-EMGK	E	TRUE	LVP764
30:22.9	DIHN-39481-XOQS	I	FALSE	PGN796
30:56.2	ERZW-20817-YRLG	T	TRUE	CMI143
31:00.3	XOGL-46912-QDAU	T	FALSE	YNQ647
31:40.7	UJMC-70236-GKZI	O	TRUE	USH564
05:44.7	DIHN-39481-XOQS	O	FALSE	HCR986
06:30.6	JEIA-69245-JRZK	T	TRUE	MGF879
44:57.5	VPTF-78239-PNCI	B	FALSE	UMC018
45:08.3	BQPK-36857-WOLS	B	TRUE	LVP764
58:41.4	SZPK-27901-CSXW	E	FALSE	TQL981
59:03.7	NQOP-05841-YTMU	T	TRUE	DCM402
44:26.6	BQPK-36857-WOLS	B	FALSE	XGW598
44:32.7	WBQT-86291-BZYS	O	TRUE	LED479
59:22.7	UJMC-70236-GKZI	B	FALSE	DCM402
59:32.0	SZPK-27901-CSXW	I	TRUE	ETO603
21:33.6	VPTF-78239-PNCI	I	FALSE	FLX671
22:06.8	DAMK-91025-HUNE	T	TRUE	SFZ186
52:50.0	UQXD-15726-BIPT	I	FALSE	YFD846
53:07.2	ERZW-20817-YRLG	I	TRUE	XPS568
51:21.0	JBVD-05396-EMGK	E	FALSE	DQT160
51:37.8	BQPK-36857-WOLS	O	TRUE	GXY421
56:28.1	SZPK-27901-CSXW	O	FALSE	SQV346
56:37.3	UQXD-15726-BIPT	E	TRUE	TAF284
41:49.6	SZPK-27901-CSXW	I	FALSE	GCI108
42:46.0	BQPK-36857-WOLS	T	TRUE	MVW427
19:26.8	ERLA-57149-MIRO	B	FALSE	VZU602
19:29.4	JBVD-05396-EMGK	T	TRUE	SVP127
30:06.3	XOGL-46912-QDAU	I	FALSE	RVM670
30:30.7	DPON-17239-UZOH	I	TRUE	BRL042
25:09.4	DAMK-91025-HUNE	I	FALSE	CJQ075
26:06.1	KGAH-24630-HVWS	E	TRUE	KCN784
47:06.5	BTHL-20158-RUVM	E	FALSE	AHO963
47:53.7	DAMK-91025-HUNE	E	TRUE	AWF720
13:19.8	TGNI-17930-CANI	O	FALSE	TQL981
13:41.3	NQOP-05841-YTMU	I	TRUE	LMN504
04:23.7	BQPK-36857-WOLS	I	FALSE	BKS051
04:48.5	SZPK-27901-CSXW	B	TRUE	PFL459
37:44.9	UJMC-70236-GKZI	E	FALSE	UZV267
38:44.8	JBVD-05396-EMGK	O	TRUE	VSP254
29:34.2	UJMC-70236-GKZI	T	FALSE	JDG753
29:49.7	SZPK-27901-CSXW	E	TRUE	DUT829
23:18.2	JBVD-05396-EMGK	O	FALSE	EQC843
23:46.7	UJMC-70236-GKZI	I	TRUE	ILA257
13:18.4	BQPK-36857-WOLS	B	FALSE	DLX128
14:09.2	UJMC-70236-GKZI	I	TRUE	XGC043
12:03.2	XOGL-46912-QDAU	T	FALSE	LVK736
12:14.5	ERLA-57149-MIRO	E	TRUE	NZF917
00:02.7	UJMC-70236-GKZI	I	FALSE	KIP439
00:17.7	ERZW-20817-YRLG	B	TRUE	XFN395
22:59.3	VPTF-78239-PNCI	I	FALSE	VFR160
23:19.2	ERZW-20817-YRLG	O	TRUE	OAR023
58:26.4	YMEA-30754-XQEI	O	FALSE	MHU637
59:06.6	BQPK-36857-WOLS	B	TRUE	ULN810
34:44.6	YMEA-30754-XQEI	T	FALSE	PFL459
35:23.0	BQPK-36857-WOLS	T	TRUE	WRD572
37:05.7	UJMC-70236-GKZI	O	FALSE	DSG417
37:33.3	JBVD-05396-EMGK	I	TRUE	EKJ419
03:55.7	JEIA-69245-JRZK	O	FALSE	MIU465
04:48.9	UWET-47108-UWME	T	TRUE	QOI045
41:22.0	VEMQ-67820-TLVH	B	FALSE	DEU253
41:52.2	UWET-47108-UWME	O	TRUE	WDX548
16:34.7	TGNI-17930-CANI	E	FALSE	SME316
17:06.4	JBVD-05396-EMGK	I	TRUE	ZDI213
43:45.3	YMEA-30754-XQEI	T	FALSE	RHZ963
44:26.1	WBQT-86291-BZYS	I	TRUE	CSM507
52:10.6	BQPK-36857-WOLS	B	FALSE	MBG962
52:28.4	DAMK-91025-HUNE	I	TRUE	EGK921
01:09.8	NQOP-05841-YTMU	T	FALSE	KUR214
01:45.5	YMEA-30754-XQEI	O	TRUE	MHR081
33:25.6	DAMK-91025-HUNE	B	FALSE	EGK921
33:26.7	UWET-47108-UWME	E	TRUE	TIP072
00:17.3	UWET-47108-UWME	T	FALSE	SME316
53:10.5	KGAH-24630-HVWS	T	FALSE	DEF275
53:16.7	UJMC-70236-GKZI	B	TRUE	WDX548
