TS_LOAD	SYS_DESC	VEH_SER_NO	OPR_NAME
48:39.0	STVMS Tracking Top Station	BEM390	Top Station
48:43.0	STVMS Tracking Top Station	CVE258	Top Station
48:46.0	STVMS Tracking Top Station	ETO603	Top Station
48:50.0	STVMS Tracking Top Station	RCF947	Top Station
48:53.0	STVMS Tracking Top Station	ALP937	Top Station
50:31.0	Cab Conveyer	ALP937	Cab Upload 2
50:31.0	Cab Conveyor / Monorail	ALP937	Cab Upload
50:50.8	Assembly Line Tracker	ALP937	Pool 60 Start
50:51.7	Assembly Line Tracker	RCF947	Pool 60 Start
50:52.6	Assembly Line Tracker	ETO603	Pool 60 Start
50:53.5	Assembly Line Tracker	CVE258	Pool 60 Start
50:54.4	Assembly Line Tracker	BEM390	Pool 60 Start
50:55.2	Assembly Line Tracker	CXD285	Pool 60 Start
50:56.1	Assembly Line Tracker	SYB619	Pool 60 Start
50:56.9	Assembly Line Tracker	PEK163	Pool 60 Start
50:57.7	Assembly Line Tracker	ELI075	Pool 60 Start
50:58.7	Assembly Line Tracker	GDU671	Pool 60 Start
50:59.5	Assembly Line Tracker	TGS974	Pool 60 Start
51:00.3	Assembly Line Tracker	EQK798	Pool 60 Start
51:01.1	Assembly Line Tracker	DFZ024	Pool 60 Start
51:02.0	Assembly Line Tracker	OQA530	Pool 60 Start
51:02.8	Assembly Line Tracker	TCS146	Pool 60 Start
51:34.5	Cab call scan	TQL981	A Line
52:07.6	Cab in white conveyer	XFN395	CIW upload
52:42.0	U-BOLT	TPG078	Front U-Bolt
52:59.9	Paint Inspection	UHP854	PAINT
55:40.9	Cab Call Scan	KQN543	B Line
55:51.1	OMT Offline Tracking	ITO673	Enter Offline
55:51.1	OMT Offline Tracking	ITO673	Sold
56:09.0	STVMS Tracking Chassis Start	VQD376	Chassis Start
56:12.0	STVMS Tracking Chassis Start	QJP284	Chassis Start
57:57.3	Paint Inspection	PRA475	PAINT
58:43.1	Cab Conveyer	CSD174	Cab Upload 2
58:43.1	Cab Conveyor / Monorail	CSD174	Cab Upload
58:45.8	Hood Conveyor	PGY640	Hood Upload
58:59.1	Cab in white conveyer	TRL028	CIW upload
00:50.8	Assembly Line Tracker	VQD376	Pool 13 Start
00:51.6	Assembly Line Tracker	HQD748	Pool 13 Start
01:15.0	U-BOLT	XPR275	Front U-Bolt
02:04.0	STVMS Tracking Top Station	CSD174	Top Station
02:08.0	STVMS Tracking Top Station	TPD286	Top Station
02:13.0	STVMS Tracking Top Station	JYI091	Top Station
02:17.0	STVMS Tracking Top Station	TQL981	Top Station
02:20.0	STVMS Tracking Top Station	KQN543	Top Station
02:25.0	STVMS Tracking Top Station	XGW598	Top Station
02:29.0	STVMS Tracking Top Station	YDL247	Top Station
02:30.1	Paint Inspection	MGF879	PAINT
02:34.0	STVMS Tracking Top Station	CNZ205	Top Station
02:39.0	STVMS Tracking Top Station	MQH836	Top Station
02:42.0	STVMS Tracking Top Station	MRI015	Top Station
02:45.0	STVMS Tracking Top Station	HRY673	Top Station
02:49.0	STVMS Tracking Top Station	AKC912	Top Station
